relation,n,ss_false_reject_rate,median_k,auroc_k_to_ySS,both_classes,report_auroc
author,292,0.0068,8.734,0.695,True,True
capital,120,0.6250,20.477,0.889,True,True
capital of,70,0.2286,11.441,0.571,True,True
color,4,0.2500,12.617,,True,False
composer,201,0.0050,8.516,0.990,True,True
country,169,0.0888,17.367,0.794,True,True
director,419,0.0024,4.672,0.995,True,True
father,106,0.0377,12.859,0.743,True,True
genre,324,0.0340,6.766,0.872,True,True
mother,39,0.0000,13.493,,False,False
occupation,112,0.0357,2.891,0.914,True,True
place of birth,114,0.0000,12.328,,False,False
producer,294,0.0034,5.617,0.949,True,True
religion,70,0.0286,14.976,0.787,True,True
screenwriter,389,0.0051,4.844,0.678,True,True
sport,92,0.0978,13.777,0.989,True,True
