bootstrap_iter,dAUROC1_Mrep_minus_Bknowledge,dAUROC2_Mhybrid_minus_Bknowledge
0,0.204325,0.208811
1,0.209899,0.218205
2,0.188592,0.194245
3,0.087144,0.098037
4,0.149101,0.157952
5,0.239902,0.241585
6,0.276291,0.274707
7,0.235355,0.244861
8,0.117738,0.119755
9,0.146117,0.157880
10,0.223304,0.226339
11,0.153608,0.163097
12,0.196061,0.200909
13,0.095701,0.110083
14,0.135557,0.144164
15,0.252569,0.256423
16,0.135699,0.148926
17,0.244825,0.246262
18,0.169063,0.176826
19,0.191711,0.197442
20,0.134615,0.145239
21,0.166616,0.177303
22,0.072082,0.096826
23,0.197991,0.199698
24,0.239914,0.241393
25,0.140714,0.152615
26,0.277954,0.280646
27,0.219424,0.225719
28,0.200181,0.205148
29,0.146345,0.150897
30,0.172185,0.186183
31,0.154935,0.159740
32,0.148519,0.163926
33,0.140127,0.145994
34,0.072987,0.081169
35,0.199435,0.210866
36,0.186897,0.195923
37,0.266815,0.267704
38,0.210239,0.218718
39,0.211750,0.217870
40,0.167304,0.175666
41,0.205083,0.208498
42,0.098556,0.103224
43,0.167403,0.172078
44,0.177963,0.181420
45,0.135160,0.136364
46,0.128122,0.137188
47,0.247833,0.252586
48,0.096007,0.106514
49,0.185941,0.198271
50,0.235130,0.240455
51,0.192885,0.202664
52,0.163335,0.166691
53,0.195415,0.205340
54,0.069449,0.078635
55,0.223519,0.228042
56,0.124874,0.137613
57,0.155768,0.162192
58,0.197652,0.200447
59,0.124966,0.137379
60,0.290108,0.286848
61,0.169872,0.174145
62,0.214327,0.218850
63,0.189742,0.197847
64,0.189962,0.197403
65,0.083630,0.095778
66,0.136943,0.138786
67,0.209588,0.215506
68,0.134374,0.145900
69,0.129152,0.138188
70,0.218074,0.224741
71,0.183032,0.190765
72,0.182597,0.193247
73,0.252667,0.255926
74,0.165067,0.177281
75,0.160971,0.171634
76,0.193833,0.196628
77,0.239273,0.242960
78,0.244022,0.248679
79,0.190580,0.195608
80,0.175388,0.184014
81,0.161532,0.170403
82,0.189310,0.195379
83,0.240296,0.247556
84,0.057361,0.066274
85,0.271052,0.271576
86,0.169862,0.175931
87,0.220355,0.227669
88,0.193896,0.201429
89,0.191256,0.193665
90,0.197991,0.202587
91,0.202800,0.215193
92,0.266371,0.270196
93,0.145561,0.153322
94,0.176750,0.181185
95,0.144853,0.150516
96,0.203806,0.206899
97,0.225468,0.228404
98,0.123917,0.135519
99,0.201778,0.210519
100,0.214365,0.218166
101,0.197095,0.198299
102,0.133072,0.137058
103,0.197137,0.199632
104,0.182755,0.188534
105,0.187642,0.191893
106,0.137656,0.144066
107,0.183752,0.188188
108,0.217630,0.217630
109,0.277037,0.285185
110,0.108929,0.118393
111,0.071852,0.094519
112,0.119407,0.129037
113,0.079253,0.090422
114,0.128189,0.140519
115,0.218023,0.222307
116,0.172657,0.179270
117,0.195652,0.199591
118,0.124836,0.135080
119,0.161407,0.170296
120,0.177517,0.186483
121,0.172875,0.175968
122,0.229592,0.237280
123,0.227285,0.233995
124,0.123158,0.139598
125,0.208333,0.215561
126,0.133423,0.143480
127,0.103037,0.118889
128,0.161200,0.162980
129,0.164321,0.168758
130,0.055185,0.069111
131,0.138019,0.145846
132,0.089955,0.094871
133,0.185756,0.193330
134,0.177479,0.182069
135,0.222603,0.226656
136,0.142595,0.147644
137,0.186458,0.190914
138,0.161990,0.168651
139,0.266417,0.271408
140,0.259855,0.263908
141,0.341771,0.342501
142,0.140444,0.150222
143,0.144040,0.149759
144,0.268137,0.275211
145,0.262004,0.262723
146,0.118115,0.129437
147,0.152769,0.161949
148,0.162593,0.175185
149,0.162897,0.168690
150,0.100319,0.109221
151,0.149333,0.152148
152,0.316202,0.318103
153,0.155540,0.164099
154,0.140830,0.146002
155,0.211420,0.217101
156,0.155116,0.161777
157,0.211168,0.216837
158,0.177077,0.179786
159,0.156746,0.165816
160,0.195241,0.206966
161,0.131171,0.135686
162,0.237088,0.235483
163,0.218629,0.221210
164,0.275974,0.278831
165,0.218166,0.221809
166,0.229116,0.240438
167,0.212688,0.215611
168,0.211522,0.213223
169,0.156318,0.159314
