id,pred1,pred2,cor1,cor2,overall,d1,d2raw,g1,g2
A01,A,B,True,True,True,21.8828125,-21.671875,A,B
A02,A,B,True,True,True,23.5625,-22.3125,A,B
A03,A,B,True,True,True,22.46875,-21.609375,A,B
A04,A,B,True,True,True,18.953125,-21.65625,A,B
A05,A,B,True,True,True,18.1015625,-21.671875,A,B
A06,A,B,True,True,True,23.265625,-23.3125,A,B
A07,A,B,True,True,True,19.44921875,-20.484375,A,B
A08,A,B,True,True,True,20.953125,-21.140625,A,B
A09,A,B,True,True,True,19.87109375,-18.0703125,A,B
A10,A,B,True,True,True,18.70703125,-19.625,A,B
A11,A,B,True,True,True,22.265625,-21.90625,A,B
A12,A,B,True,True,True,22.046875,-22.4375,A,B
B01,B,A,True,True,True,-22.46875,21.3828125,B,A
B02,B,A,True,True,True,-21.71875,22.546875,B,A
B03,B,A,True,True,True,-22.8125,21.125,B,A
B04,B,A,True,True,True,-21.453125,21.546875,B,A
B05,B,A,True,True,True,-23.125,23.328125,B,A
B06,B,A,True,True,True,-22.15625,24.09375,B,A
B07,B,A,True,True,True,-20.875,22.59375,B,A
B08,B,A,True,True,True,-21.203125,20.49609375,B,A
B09,B,A,True,True,True,-22.09375,23.75,B,A
B10,B,A,True,True,True,-18.8671875,19.8046875,B,A
B11,B,A,True,True,True,-17.08984375,18.7578125,B,A
B12,B,A,True,True,True,-22.375,22.671875,B,A
