layer,C,mean_auroc,mean_auprc
1,0.0001,0.6541371572850042,0.8672395514157427
1,0.001,0.6500185677008213,0.8656272622872319
1,0.01,0.651165081780775,0.872250983506121
1,0.1,0.6487832353555549,0.8746757501557338
1,1.0,0.645217076316566,0.8742782954541479
2,0.0001,0.6491169566212089,0.8679987331096646
2,0.001,0.6419600197613388,0.8652197901907792
2,0.01,0.6397246426546508,0.8651117604228522
2,0.1,0.6390897764913014,0.8664121410203494
2,1.0,0.6313148004469511,0.8660720552115035
3,0.0001,0.6368145700085213,0.8490144290277876
3,0.001,0.6412681656769419,0.8515523827715956
3,0.01,0.6439500794100776,0.8535869488192738
3,0.1,0.648347350289623,0.8599215171438036
3,1.0,0.6450930291546059,0.8611435132499157
4,0.0001,0.6676553552896395,0.8632942436299244
4,0.001,0.6799431115487783,0.8746488804322843
4,0.01,0.694156562190193,0.8882974687453931
4,0.1,0.704244377468095,0.896343778711965
4,1.0,0.7059154290962504,0.8995669335457652
5,0.0001,0.6870021949674899,0.8734755483484562
5,0.001,0.6911253435853567,0.8815972322108425
5,0.01,0.7029656928570718,0.8935051510186292
5,0.1,0.7074251323777598,0.8964117257508655
5,1.0,0.7024763013139964,0.8924480772866552
6,0.0001,0.7327330743802201,0.9024973867786844
6,0.001,0.7436669634183137,0.9129902750430358
6,0.01,0.7580402703589867,0.9223636191768483
6,0.1,0.7619651424573688,0.9252485659521756
6,1.0,0.7605393253956413,0.9243298579036079
7,0.0001,0.7358759478645487,0.89695723396431
7,0.001,0.7504300412136645,0.9084303948280514
7,0.01,0.7606016183740663,0.9146474736214543
7,0.1,0.7589443267384839,0.9153712928780111
7,1.0,0.7560460246884106,0.9152836583725869
8,0.0001,0.7403147888421382,0.9045900962458419
8,0.001,0.744157432551169,0.9104414560555775
8,0.01,0.7442266055258804,0.9079280939332612
8,0.1,0.7378014350180206,0.9041283502105453
8,1.0,0.7329565913680085,0.9016415984187326
9,0.0001,0.8020186157779037,0.9325423980836269
9,0.001,0.8004199698937994,0.9310265413316916
9,0.01,0.7990264390797052,0.9295209241261404
9,0.1,0.7981168704140267,0.9289562703042179
9,1.0,0.793624647296576,0.9285219585267314
10,0.0001,0.7935036256751515,0.9292357835400182
10,0.001,0.7897996180358688,0.9278653559228591
10,0.01,0.786974343416258,0.926653674967666
10,0.1,0.7836336078700527,0.9247332343959863
10,1.0,0.777902861083757,0.9233788840116736
11,0.0001,0.8198926803470833,0.9406966969644873
11,0.001,0.8150780506566667,0.9386204924515423
11,0.01,0.8073474630220921,0.9359159063558561
11,0.1,0.8005890271519469,0.9333716274744395
11,1.0,0.7919976939578712,0.929260410942627
12,0.0001,0.863063952466686,0.9564419879174979
12,0.001,0.8640520608490082,0.9570342141777436
12,0.01,0.8586986362686879,0.9549701367518411
12,0.1,0.8521339178843432,0.9529168468112426
12,1.0,0.8431910417474858,0.9496529136837808
13,0.0001,0.8911572153753827,0.9670877271532431
13,0.001,0.8985721520959948,0.9688651008852481
13,0.01,0.8955379079506232,0.9671055535968701
13,0.1,0.8941195096800719,0.9661019838671739
13,1.0,0.8917347620515983,0.9644336144167809
14,0.0001,0.895012127029599,0.9688286762993332
14,0.001,0.9020561656371541,0.9707902438533837
14,0.01,0.8993283300010942,0.9696963597714874
14,0.1,0.8949432441752128,0.9682465739427769
14,1.0,0.8888198402514597,0.9645444517132734
15,0.0001,0.8986413250707065,0.9691114141003963
15,0.001,0.908516109138293,0.9724113043475399
15,0.01,0.90279149632459,0.9703262477521136
15,0.1,0.9011043222954983,0.9696682483409254
15,1.0,0.8968792171061575,0.9673595739978904
16,0.0001,0.9045826992131936,0.9708669801102132
16,0.001,0.9137792648516738,0.9744062889936244
16,0.01,0.9135926345909635,0.9741655545901281
16,0.1,0.9128083564600677,0.9732689346928683
16,1.0,0.907380743967984,0.9712847592752901
17,0.0001,0.9079793450906667,0.9724165783655982
17,0.001,0.916550742873816,0.975818313063918
17,0.01,0.9181437106886958,0.9766406286556153
17,0.1,0.9168072921329316,0.9761463829845815
17,1.0,0.9122573765165004,0.9744395935650374
18,0.0001,0.9096890241678521,0.9727730844804814
18,0.001,0.9211666401413797,0.9773842841950131
18,0.01,0.9233907025553799,0.9787402912012748
18,0.1,0.9223982838139383,0.9784062231774767
18,1.0,0.9193400011273247,0.9776699278184061
19,0.0001,0.914424948358582,0.9746205974450637
19,0.001,0.9263969293664769,0.9789186478057654
19,0.01,0.9271565058239583,0.9794897018049088
19,0.1,0.9245578566241932,0.9789361699541341
19,1.0,0.9223917353837381,0.9783716226131107
20,0.0001,0.9099260524736488,0.9726311173416817
20,0.001,0.9277786481387537,0.9790909838407595
20,0.01,0.9296683676006883,0.9800908511099518
20,0.1,0.9288705781517843,0.9801318668099229
