layer,C,mean_auroc,mean_auprc
1,0.0001,0.6504501838533947,0.8659202281932323
1,0.001,0.6425039539255767,0.8691492135328946
1,0.01,0.6305223160554246,0.8672037008891621
1,0.1,0.6206614992092149,0.8659557900142003
1,1.0,0.6129455004824287,0.860534199813381
2,0.0001,0.6462976916369086,0.8690842472147787
2,0.001,0.6460808888623637,0.8688548117671262
2,0.01,0.6409411171787706,0.8653342836060182
2,0.1,0.6299136436128766,0.8589417002959394
2,1.0,0.6175333804157175,0.8513570515411715
3,0.0001,0.6226458393429687,0.8523639447442622
3,0.001,0.6220368767800954,0.8511050388335375
3,0.01,0.6183796199589522,0.8447485477110618
3,0.1,0.6117658297938655,0.8433401557636632
3,1.0,0.6049874585127935,0.844568618729757
4,0.0001,0.6732402129980538,0.8720309382858268
4,0.001,0.6830907512955945,0.8814079555849631
4,0.01,0.6886237603572956,0.890445213037115
4,0.1,0.6859961820165186,0.8902398490237247
4,1.0,0.6754522975871936,0.8858459586312047
5,0.0001,0.6740059648738888,0.8800320696007672
5,0.001,0.6862821577657752,0.8878376688827488
5,0.01,0.6965022679120288,0.8971035700738552
5,0.1,0.6919022858165975,0.8963134185189601
5,1.0,0.6865463330448708,0.8933688171702678
6,0.0001,0.7258214135325384,0.9055648486186658
6,0.001,0.7414015381350734,0.9151776510109662
6,0.01,0.7453865894780819,0.9202249202059409
6,0.1,0.7447503141588665,0.9204137022065799
6,1.0,0.7404488244324419,0.9176020638129311
7,0.0001,0.7369804773888509,0.9090936069904183
7,0.001,0.7576716517627712,0.9224013504646384
7,0.01,0.7691640638728907,0.9288065439215567
7,0.1,0.7650552969340085,0.9268903361786016
7,1.0,0.7598509113093876,0.9242966832315608
8,0.0001,0.7374374997927712,0.9080759574710264
8,0.001,0.7421879299997679,0.9139913100318429
8,0.01,0.7451912141618507,0.9154213387815127
8,0.1,0.7417269288028144,0.9138649865809498
8,1.0,0.7391425783905119,0.9112472440183123
9,0.0001,0.8028126336625785,0.9373388133363761
9,0.001,0.8078745287617002,0.9400759337452896
9,0.01,0.8102417033876106,0.9406944090735869
9,0.1,0.8085927837957023,0.9386973182264529
9,1.0,0.803672798981429,0.9353923077096538
10,0.0001,0.8050386025815737,0.9349403897150663
10,0.001,0.8042995003299083,0.9354261161708912
10,0.01,0.8004257308545453,0.9361717311549972
10,0.1,0.7969337182815595,0.934603422438272
10,1.0,0.7913939535608541,0.932674872813462
11,0.0001,0.820421694037447,0.941017425829339
11,0.001,0.823218080961807,0.9448358675215205
11,0.01,0.8176294102434026,0.9443472480419569
11,0.1,0.8133281691915425,0.9436218878376073
11,1.0,0.805686316930759,0.9410067542324002
12,0.0001,0.8626446042592979,0.9570920521592834
12,0.001,0.8646816634007408,0.9583969811031686
12,0.01,0.8591077888189285,0.9566361453737088
12,0.1,0.853236748132454,0.9550909534748981
12,1.0,0.8423110239092304,0.9515198829832444
13,0.0001,0.8942811481470428,0.9685065695490576
13,0.001,0.9022873915364442,0.970640132479045
13,0.01,0.8991904399550397,0.9697406703180367
13,0.1,0.8964335922864466,0.9689367571127006
13,1.0,0.8901022964267125,0.9666664056916012
14,0.0001,0.8952266502873021,0.9688333340264856
14,0.001,0.9029456331088632,0.9713395697917153
14,0.01,0.9014096946607915,0.9714013535510873
14,0.1,0.9002485916730493,0.9709178438089875
14,1.0,0.8930998610738101,0.968383931169688
15,0.0001,0.8997645466331121,0.9681964191120075
15,0.001,0.9031677409407856,0.970812627435828
15,0.01,0.9022677876916039,0.9707573467488292
15,0.1,0.9009178163720704,0.9702402839546481
15,1.0,0.8966956538317434,0.9685590249830482
16,0.0001,0.9057241569103345,0.9718395394916115
16,0.001,0.9130058040643372,0.974251619429357
16,0.01,0.911268439218963,0.9732578773670075
16,0.1,0.909109073637512,0.9719021701345005
16,1.0,0.9040071004877337,0.9696251274480533
17,0.0001,0.9056286658775393,0.9719919674870361
17,0.001,0.9130327852545932,0.9745685242157031
17,0.01,0.9113089731729879,0.9743034742974848
17,0.1,0.9078044439802518,0.972860341805594
17,1.0,0.9034461735615835,0.9711981587257343
18,0.0001,0.9060277885536756,0.9721869862448127
18,0.001,0.917104914140962,0.9767122678082426
18,0.01,0.9195032974247264,0.9778386556248618
18,0.1,0.9174595655158008,0.9773404050371365
18,1.0,0.9146131121124407,0.9763791992498716
19,0.0001,0.910288081193903,0.9736224995498187
19,0.001,0.9181844518715249,0.9767665196887872
19,0.01,0.9172082384225412,0.9767931619964587
19,0.1,0.9157762044966992,0.9764917608392105
19,1.0,0.9120289274831814,0.9750882705328576
20,0.0001,0.9060909104473158,0.9715043071738754
20,0.001,0.9173796580890521,0.9753529306926401
20,0.01,0.9168783716126381,0.9750865308709082
20,0.1,0.9158992569604012,0.974927912566739
20,1.0,0.9149925066064541,0.9749268675914957
21,0.0001,0.8993924880387535,0.9685412152293728
21,0.001,0.91233189599435,0.972359554307032
21,0.01,0.9113546878471082,0.97229489630338
21,0.1,0.9094843650012102,0.9718301266979678
21,1.0,0.9017950573443546,0.9693135339990097
22,0.0001,0.8884246549225958,0.9647109789760264
22,0.001,0.8996372252560519,0.9675968450657058
22,0.01,0.8926203750675568,0.9645109001374086
22,0.1,0.8860854561851996,0.9629966665169137
22,1.0,0.8760440601593507,0.9595190807101833
23,0.0001,0.8665789674368947,0.958496184948604
23,0.001,0.8817874064569178,0.9625365404804341
23,0.01,0.8730987171708129,0.9590773373298228
23,0.1,0.8665715071999575,0.9557602608422251
23,1.0,0.8595653500177388,0.9531323120482658
24,0.0001,0.8470496835201707,0.9483407740728135
24,0.001,0.8686572651102955,0.954475574582179
24,0.01,0.8613341721955312,0.9505497885753156
24,0.1,0.8537307401549741,0.9472199929262594
24,1.0,0.8462197736066764,0.9429318857239946
25,0.0001,0.8370356831421855,0.9461722386306859
25,0.001,0.8496220975533738,0.9483162663065283
25,0.01,0.8365762983299015,0.9417407416834843
25,0.1,0.8267161860616248,0.9371312687581197
25,1.0,0.8187119320687403,0.9304396920705227
26,0.0001,0.8310525316728503,0.9454735151902977
26,0.001,0.8485407362093376,0.9501061697087085
26,0.01,0.8388415992758598,0.9446393566014099
26,0.1,0.8304942158296281,0.9404933108700082
26,1.0,0.8246724541526994,0.9365169497022647
27,0.0001,0.8026438250789957,0.9314370448513574
27,0.001,0.8399429374765832,0.9468426247634891
27,0.01,0.8341430591613367,0.9439894120819355
27,0.1,0.8302838785937618,0.9414699589424848
27,1.0,0.8256635466297965,0.939373446447234
28,0.0001,0.7803468347043591,0.9244912833489012
28,0.001,0.8238360372547655,0.9401267817981805
28,0.01,0.8234001521888334,0.9410515689873156
28,0.1,0.817390268203807,0.9393301254151192
28,1.0,0.8120625399951592,0.9367426880447465
