source_group_id,cell,d1_predicted_label,seg_predicted_label,d1_l_A,d1_l_B,d1_d_raw,seg_l_A,seg_l_B,seg_d_raw,label_match,l_A_bf16_ulp,l_B_bf16_ulp,d_raw_abs_diff
05677026bd7ad785bb85a02f4258464dc4476b9c08d7f52ac641e994b9b13c2a,OO,A,A,15.375,-1.078125,16.453125,14.9375,-1.53125,16.46875,True,14.0,116.0,0.015625
05677026bd7ad785bb85a02f4258464dc4476b9c08d7f52ac641e994b9b13c2a,OS,B,B,-7.0,14.875,-21.875,-7.125,14.8125,-21.9375,True,8.0,2.0,0.0625
05677026bd7ad785bb85a02f4258464dc4476b9c08d7f52ac641e994b9b13c2a,SO,B,B,3.0,16.875,-13.875,2.53125,16.875,-14.34375,True,60.0,0.0,0.46875
05677026bd7ad785bb85a02f4258464dc4476b9c08d7f52ac641e994b9b13c2a,SS,B,B,3.75,17.875,-14.125,3.640625,18.125,-14.484375,True,14.0,4.0,0.359375
06efe48e5f13ce79575b3df69ff31f1debe36fda0879f1ee34b6bf34d82a7e75,OO,A,A,14.8125,-1.1953125,16.0078125,14.6875,-1.375,16.0625,True,4.0,46.0,0.0546875
06efe48e5f13ce79575b3df69ff31f1debe36fda0879f1ee34b6bf34d82a7e75,OS,B,B,-4.71875,16.125,-20.84375,-4.9375,15.75,-20.6875,True,14.0,6.0,0.15625
06efe48e5f13ce79575b3df69ff31f1debe36fda0879f1ee34b6bf34d82a7e75,SO,B,B,-0.96484375,15.1875,-16.15234375,-1.4453125,14.8125,-16.2578125,True,246.0,12.0,0.10546875
06efe48e5f13ce79575b3df69ff31f1debe36fda0879f1ee34b6bf34d82a7e75,SS,B,B,0.369140625,17.5,-17.130859375,0.384765625,17.5,-17.115234375,True,16.0,0.0,0.015625
0a10ac3133a9f765768b242af148337eaa1355bf976f5ec1b1904d0d49b74d69,OO,A,A,16.375,-0.0032196044921875,16.378219604492188,16.5,0.1630859375,16.3369140625,True,2.0,21798.0,0.0413055419921875
0a10ac3133a9f765768b242af148337eaa1355bf976f5ec1b1904d0d49b74d69,OS,B,B,-5.03125,14.125,-19.15625,-4.78125,14.25,-19.03125,True,16.0,4.0,0.125
0a10ac3133a9f765768b242af148337eaa1355bf976f5ec1b1904d0d49b74d69,SO,B,B,11.8125,16.375,-4.5625,11.9375,16.375,-4.4375,True,4.0,0.0,0.125
0a10ac3133a9f765768b242af148337eaa1355bf976f5ec1b1904d0d49b74d69,SS,B,B,13.375,16.375,-3.0,13.25,16.5,-3.25,True,4.0,2.0,0.25
0e5e53a12a3532a8b292e0da9c32e962c792c48de4cf14ea151217f38da9e546,OO,A,A,14.375,-3.734375,18.109375,14.625,-3.515625,18.140625,True,8.0,28.0,0.03125
0e5e53a12a3532a8b292e0da9c32e962c792c48de4cf14ea151217f38da9e546,OS,B,B,-4.09375,15.625,-19.71875,-3.921875,16.125,-20.046875,True,11.0,16.0,0.328125
0e5e53a12a3532a8b292e0da9c32e962c792c48de4cf14ea151217f38da9e546,SO,B,B,-2.125,14.9375,-17.0625,-2.046875,15.0,-17.046875,True,10.0,2.0,0.015625
0e5e53a12a3532a8b292e0da9c32e962c792c48de4cf14ea151217f38da9e546,SS,B,B,4.28125,18.5,-14.21875,4.25,18.625,-14.375,True,2.0,2.0,0.15625
0e6720dd58fc316e965e53fb88c5ce64e44eec09e9871c0869bdb0d5aac8fb45,OO,A,A,14.375,-4.09375,18.46875,14.125,-4.1875,18.3125,True,8.0,6.0,0.15625
0e6720dd58fc316e965e53fb88c5ce64e44eec09e9871c0869bdb0d5aac8fb45,OS,B,B,-6.5,15.25,-21.75,-6.53125,15.1875,-21.71875,True,2.0,2.0,0.03125
0e6720dd58fc316e965e53fb88c5ce64e44eec09e9871c0869bdb0d5aac8fb45,SO,B,B,2.5625,15.6875,-13.125,2.75,15.5625,-12.8125,True,24.0,4.0,0.3125
0e6720dd58fc316e965e53fb88c5ce64e44eec09e9871c0869bdb0d5aac8fb45,SS,B,B,0.53515625,16.875,-16.33984375,0.52734375,17.125,-16.59765625,True,4.0,4.0,0.2578125
0f7d3b6b43185a49146f9aaa61004619b4a66588a563e78ee9496ebd709b0e37,OO,A,A,16.25,2.484375,13.765625,15.9375,2.3125,13.625,True,5.0,22.0,0.140625
0f7d3b6b43185a49146f9aaa61004619b4a66588a563e78ee9496ebd709b0e37,OS,B,B,-5.15625,14.9375,-20.09375,-5.4375,14.625,-20.0625,True,18.0,10.0,0.03125
0f7d3b6b43185a49146f9aaa61004619b4a66588a563e78ee9496ebd709b0e37,SO,B,B,-4.3125,13.6875,-18.0,-4.40625,13.8125,-18.21875,True,6.0,4.0,0.21875
0f7d3b6b43185a49146f9aaa61004619b4a66588a563e78ee9496ebd709b0e37,SS,A,A,16.625,8.5625,8.0625,17.0,9.125,7.875,True,6.0,18.0,0.1875
