source_group_id,cell,r_end,c_end,d_pos,order_ok,r_end_tok,c_end_tok,d_pos_tok,prediction_match,d1_d_raw,our_d_raw,d_raw_abs_diff,seq_len
05677026bd7ad785bb85a02f4258464dc4476b9c08d7f52ac641e994b9b13c2a,OO,98,107,115,True,7101,7101,198,True,16.453125,16.453125,0.0,116
05677026bd7ad785bb85a02f4258464dc4476b9c08d7f52ac641e994b9b13c2a,OS,98,107,115,True,7101,3305,198,True,-21.875,-21.875,0.0,116
05677026bd7ad785bb85a02f4258464dc4476b9c08d7f52ac641e994b9b13c2a,SO,98,107,115,True,3305,7101,198,True,-13.875,-13.875,0.0,116
05677026bd7ad785bb85a02f4258464dc4476b9c08d7f52ac641e994b9b13c2a,SS,98,107,115,True,3305,3305,198,True,-14.125,-14.125,0.0,116
06efe48e5f13ce79575b3df69ff31f1debe36fda0879f1ee34b6bf34d82a7e75,OO,102,111,119,True,15747,15747,198,True,16.0078125,16.0078125,0.0,120
06efe48e5f13ce79575b3df69ff31f1debe36fda0879f1ee34b6bf34d82a7e75,OS,102,111,119,True,15747,69885,198,True,-20.84375,-20.84375,0.0,120
06efe48e5f13ce79575b3df69ff31f1debe36fda0879f1ee34b6bf34d82a7e75,SO,102,111,119,True,69885,15747,198,True,-16.15234375,-16.15234375,0.0,120
06efe48e5f13ce79575b3df69ff31f1debe36fda0879f1ee34b6bf34d82a7e75,SS,102,111,119,True,69885,69885,198,True,-17.130859375,-17.130859375,0.0,120
0a10ac3133a9f765768b242af148337eaa1355bf976f5ec1b1904d0d49b74d69,OO,106,114,122,True,9387,9387,198,True,16.378219604492188,16.378219604492188,0.0,123
0a10ac3133a9f765768b242af148337eaa1355bf976f5ec1b1904d0d49b74d69,OS,106,114,122,True,9387,72581,198,True,-19.15625,-19.15625,0.0,123
0a10ac3133a9f765768b242af148337eaa1355bf976f5ec1b1904d0d49b74d69,SO,106,114,122,True,72581,9387,198,True,-4.5625,-4.5625,0.0,123
0a10ac3133a9f765768b242af148337eaa1355bf976f5ec1b1904d0d49b74d69,SS,106,114,122,True,72581,72581,198,True,-3.0,-3.0,0.0,123
0e5e53a12a3532a8b292e0da9c32e962c792c48de4cf14ea151217f38da9e546,OO,112,121,129,True,63666,63666,198,True,18.109375,18.109375,0.0,130
0e5e53a12a3532a8b292e0da9c32e962c792c48de4cf14ea151217f38da9e546,OS,112,122,130,True,63666,1276,198,True,-19.71875,-19.71875,0.0,131
0e5e53a12a3532a8b292e0da9c32e962c792c48de4cf14ea151217f38da9e546,SO,113,122,130,True,1276,63666,198,True,-17.0625,-17.0625,0.0,131
0e5e53a12a3532a8b292e0da9c32e962c792c48de4cf14ea151217f38da9e546,SS,113,123,131,True,1276,1276,198,True,-14.21875,-14.21875,0.0,132
0e6720dd58fc316e965e53fb88c5ce64e44eec09e9871c0869bdb0d5aac8fb45,OO,99,108,116,True,482,482,198,True,18.46875,18.46875,0.0,117
0e6720dd58fc316e965e53fb88c5ce64e44eec09e9871c0869bdb0d5aac8fb45,OS,99,109,117,True,482,73667,198,True,-21.75,-21.75,0.0,118
0e6720dd58fc316e965e53fb88c5ce64e44eec09e9871c0869bdb0d5aac8fb45,SO,100,109,117,True,73667,482,198,True,-13.125,-13.125,0.0,118
0e6720dd58fc316e965e53fb88c5ce64e44eec09e9871c0869bdb0d5aac8fb45,SS,100,110,118,True,73667,73667,198,True,-16.33984375,-16.33984375,0.0,119
0f7d3b6b43185a49146f9aaa61004619b4a66588a563e78ee9496ebd709b0e37,OO,95,104,112,True,51096,51096,198,True,13.765625,13.765625,0.0,113
0f7d3b6b43185a49146f9aaa61004619b4a66588a563e78ee9496ebd709b0e37,OS,95,105,113,True,51096,388,198,True,-20.09375,-20.09375,0.0,114
0f7d3b6b43185a49146f9aaa61004619b4a66588a563e78ee9496ebd709b0e37,SO,96,105,113,True,388,51096,198,True,-18.0,-18.0,0.0,114
0f7d3b6b43185a49146f9aaa61004619b4a66588a563e78ee9496ebd709b0e37,SS,96,106,114,True,388,388,198,True,8.0625,8.0625,0.0,115
10c688835407c6795fb879cb2535d55f0927bb85029e051e3aa4de6c67c47398,OO,108,117,125,True,355,355,198,True,16.8359375,16.8359375,0.0,126
