location,method,AUROC,AUPRC
L14/R_end,V_mean,0.881778,0.964473
L14/R_end,V_lda,0.876948,0.955482
L14/R_end,V_logit@C=0.001,0.907258,0.972521
L14/R_end,V_logit@C=0.01,0.907132,0.972418
L14/R_end,V_logit@C=0.1,0.904852,0.971539
L14/C_end,V_mean,0.860106,0.958499
L14/C_end,V_lda,0.863499,0.952251
L14/C_end,V_logit@C=0.001,0.893468,0.96816
L14/C_end,V_logit@C=0.01,0.887991,0.965717
L14/C_end,V_logit@C=0.1,0.885046,0.964263
L14/D_pos,V_mean,0.825343,0.947989
L14/D_pos,V_lda,0.839923,0.944301
L14/D_pos,V_logit@C=0.001,0.894024,0.968726
L14/D_pos,V_logit@C=0.01,0.897382,0.969756
L14/D_pos,V_logit@C=0.1,0.891313,0.967784
L18/R_end,V_mean,0.89187,0.965408
L18/R_end,V_lda,0.917098,0.97509
L18/R_end,V_logit@C=0.001,0.928625,0.979252
L18/R_end,V_logit@C=0.01,0.933096,0.981014
L18/R_end,V_logit@C=0.1,0.932773,0.980995
L18/C_end,V_mean,0.947748,0.983678
L18/C_end,V_lda,0.959456,0.985018
L18/C_end,V_logit@C=0.001,0.971342,0.991214
L18/C_end,V_logit@C=0.01,0.974126,0.991689
L18/C_end,V_logit@C=0.1,0.974503,0.991614
L18/D_pos,V_mean,0.93385,0.981413
L18/D_pos,V_lda,0.946797,0.985446
L18/D_pos,V_logit@C=0.001,0.976837,0.993906
L18/D_pos,V_logit@C=0.01,0.978525,0.994492
L18/D_pos,V_logit@C=0.1,0.977699,0.994335
L22/R_end,V_mean,0.848452,0.952632
L22/R_end,V_lda,0.864217,0.951454
L22/R_end,V_logit@C=0.001,0.898801,0.966628
L22/R_end,V_logit@C=0.01,0.892785,0.963858
L22/R_end,V_logit@C=0.1,0.887129,0.961237
L22/C_end,V_mean,0.953207,0.98608
L22/C_end,V_lda,0.95915,0.987536
L22/C_end,V_logit@C=0.001,0.968469,0.991074
L22/C_end,V_logit@C=0.01,0.96978,0.991678
L22/C_end,V_logit@C=0.1,0.969726,0.991712
L22/D_pos,V_mean,0.999246,0.999809
L22/D_pos,V_lda,0.997432,0.999338
L22/D_pos,V_logit@C=0.001,0.999336,0.99983
L22/D_pos,V_logit@C=0.01,0.999102,0.999772
L22/D_pos,V_logit@C=0.1,0.998474,0.999614
L26/R_end,V_mean,0.781243,0.928628
L26/R_end,V_lda,0.822219,0.930129
L26/R_end,V_logit@C=0.001,0.851038,0.948291
L26/R_end,V_logit@C=0.01,0.847465,0.944244
L26/R_end,V_logit@C=0.1,0.841844,0.941523
L26/C_end,V_mean,0.933976,0.980557
L26/C_end,V_lda,0.941572,0.980484
L26/C_end,V_logit@C=0.001,0.953889,0.986418
L26/C_end,V_logit@C=0.01,0.954123,0.986359
L26/C_end,V_logit@C=0.1,0.952668,0.985534
L26/D_pos,V_mean,0.999964,0.999991
L26/D_pos,V_lda,0.999264,0.999815
L26/D_pos,V_logit@C=0.001,0.999856,0.999964
L26/D_pos,V_logit@C=0.01,0.999713,0.999927
L26/D_pos,V_logit@C=0.1,0.999569,0.999892
