id,expected_label,predicted_label,l_A,l_B,d_raw,correct
S01,A,A,15.5,-4.53125,20.03125,True
S02,A,A,15.625,-5.09375,20.71875,True
S03,A,A,15.0625,-6.40625,21.46875,True
S04,A,A,14.0,-6.6875,20.6875,True
S05,A,A,15.0625,-6.15625,21.21875,True
S06,A,A,16.125,-4.96875,21.09375,True
S07,A,A,14.75,-4.34375,19.09375,True
S08,A,A,15.6875,-5.34375,21.03125,True
S09,A,A,15.25,-4.34375,19.59375,True
S10,A,A,14.875,-6.28125,21.15625,True
S11,A,A,14.1875,-5.375,19.5625,True
S12,A,A,15.25,-4.9375,20.1875,True
S13,B,B,-7.4375,16.75,-24.1875,True
S14,B,B,-6.5,16.375,-22.875,True
S15,B,B,-6.6875,15.8125,-22.5,True
S16,B,B,-7.1875,16.0,-23.1875,True
S17,B,B,-7.15625,16.875,-24.03125,True
S18,B,B,-6.09375,17.0,-23.09375,True
S19,B,B,-7.03125,16.5,-23.53125,True
S20,B,B,-6.25,16.875,-23.125,True
S21,B,B,-7.84375,14.25,-22.09375,True
S22,B,B,-6.46875,16.125,-22.59375,True
S23,B,B,-5.3125,14.875,-20.1875,True
S24,B,B,-7.3125,15.625,-22.9375,True
