id,expected_label,predicted_label,greedy_id,greedy_token,greedy_pred,greedy_agrees,d_raw
S01,A,A,1098,A,A,True,19.96875
S02,A,A,1098,A,A,True,20.15625
S03,A,A,1098,A,A,True,19.84375
S04,A,A,1098,A,A,True,19.875
S05,A,A,1098,A,A,True,20.3125
S06,A,A,1098,A,A,True,20.1875
S07,A,A,1098,A,A,True,19.90625
S08,A,A,1098,A,A,True,19.4375
S09,A,A,1098,A,A,True,19.65625
S10,A,A,1098,A,A,True,19.90625
S11,A,A,1098,A,A,True,19.3125
S12,A,A,1098,A,A,True,20.1875
S13,B,B,1133,B,B,True,-12.375
S14,B,B,1133,B,B,True,-12.0
S15,B,B,1133,B,B,True,-11.8125
S16,B,B,1133,B,B,True,-11.375
S17,B,B,1133,B,B,True,-12.375
S18,B,B,1133,B,B,True,-12.25
S19,B,B,1133,B,B,True,-12.375
S20,B,B,1133,B,B,True,-11.8125
S21,B,B,1133,B,B,True,-12.0625
S22,B,B,1133,B,B,True,-12.0
S23,B,B,1133,B,B,True,-10.9375
S24,B,B,1133,B,B,True,-11.625
