source_group_id,l_A,l_B,d_raw,y
04136cc09c3e28e20f3cc54c002f5cce19b5b0584082036aac26cb85e0957718,3.546875,17.875,-14.328125,1
06c253234fb732ca5cbb933d1c17bf2d2750808470917055d46202ca634d77aa,8.0,18.625,-10.625,1
082947fab55f39b4eeebfcc920b503109f104b9774871097799460edf1f2ad19,0.51953125,16.625,-16.10546875,1
096157c43eab1d699b9ccbeed5d68411b5b2e3fb115b252fc3fa6cf70c9fa0a2,-1.65625,16.0,-17.65625,1
0a51728d96ec45e2fef0097948bf096e564dd8d11b97cf7c76c6b8f66ecad0e5,6.9375,18.0,-11.0625,1
0b2846c806023ca03d78a69b7d388dc5df828afa14516b3f525a94be952abb37,13.0625,-1.359375,14.421875,0
0c102fbd9f98d24a475df0b9061172ffddb39d95c68f8f6e6ff4498654dd07d2,16.75,1.578125,15.171875,0
0e34f98a5eed0e07fff76848021357348c024f47757280af3d16031154df05ea,-1.578125,17.0,-18.578125,1
1156a39519b025298930477de781f6adfdc69c207f4e56b13d9f45217e5d8a3e,13.3125,-2.203125,15.515625,0
120ded6702a4bfa3cbb31ca776d05a8d265ac3c801488888b22c32f00bd67ec5,0.55078125,16.0,-15.44921875,1
15c23fd8db846a2fe507b4350a0b29c09524f038f8eb33ccf91a33cf36a47577,3.5625,17.0,-13.4375,1
15f53f5d9064bd6b540a9a887785b50f0dff073a14da9cfd06703e413898a406,6.40625,17.75,-11.34375,1
17a3ddf50cc90eba8a1b8e1b88b88cbb1acc416aa534178d1440310ccbedd46e,9.0625,17.5,-8.4375,1
17c8c97714c512701e89cfadecc0c6e47d62e062996af33efd672dad145466f2,8.4375,17.5,-9.0625,1
1a4bfad86725d96576461f1d03e703da235b3c05bb374daa912207c24bf10fc6,-0.8125,16.25,-17.0625,1
1a652f5d27693f71943fc078534abeeaa77cabd0b561d26bc7dc6729164bf79b,17.25,12.6875,4.5625,0
1a6cef51ba8e69e9d9becdbf37488d5b99ff68555848219fb1bc6c35a8e14b51,6.96875,18.375,-11.40625,1
1beecde5f062342e7ea745bf7976f068d5918b7c3493eb77abd34e80451ca1e9,-2.140625,17.5,-19.640625,1
1d60ddc902b71b2bf0c9e33f9ca30b765d70f90cce016b2580f49d258304cd42,17.625,7.375,10.25,0
1e476089b485260191c0bf5c28ac7bbff1873d191a7155bccc6eb107a15795cc,-1.8203125,15.25,-17.0703125,1
1e8acd4a8ea4ccf790b57fef1de1e73996953d8a2fcd4177aba159913090d44f,6.6875,17.25,-10.5625,1
1fc23b443a0b2ab4eb5d85d686cd546a324f4d92982f5cd5aba987e5a586a26f,1.5546875,16.625,-15.0703125,1
1fcc66bd660ea715ba5fc4eaf96aa4cd1865e6c55ad8fd7b4d441a7c21846e72,17.5,8.4375,9.0625,0
20f5c3c71684cc2d42c32048426f08da7dcb1754ed6b9e010a3f05f9830d7415,5.28125,18.5,-13.21875,1
213598c0c1982501f3ad44a09161ff5785511c9c7184ef56687e9c6f23f9b117,10.375,16.5,-6.125,1
23cbf2ea0b43fa8e41ebf4767a8faef009ed6e705c8b41be93c02738e336016e,2.015625,16.75,-14.734375,1
249c9a2a402d7fc9a8e34b5c270a505e68f45c60a2b6d8115f6dca53a1ead400,17.125,11.625,5.5,0
24d57c054a0760dadc797b17fbae09b4d95a30f631ac53a6c9c3af6867459c7c,16.5,6.71875,9.78125,0
26aeaf6c1e0f7f10cbec18c2c7e7e6327434465387a98de2bfe3a25ead5320e3,-1.9140625,15.875,-17.7890625,1
26e2245e87b3be0c26c31435963c2d0b5db8964605e8ea4e907c5cdc05afe211,18.5,13.3125,5.1875,0
270b5c52e64aaec413813efbef57807d2cc25fea5398ba2138054861c1cb0856,2.828125,17.625,-14.796875,1
28bb87e526c10f13cadda9756e62cc79c3f0d6b88366f11f78cc8c79564cf6d1,15.5625,11.5,4.0625,0
29c957b473c9b695ee20b26ba78f9e47d9bdf5bb15942bd5875d582a5dd33d3e,16.125,13.625,2.5,0
29d2c4e3404587f0c60f3003620da40f5a704dae9ce51723b9392576f1897ee3,10.9375,16.125,-5.1875,1
2dddfb7d4d9368b9bc0370c71e7d2cd76d28533599470762047b582458afaea4,3.546875,16.875,-13.328125,1
2e12363d85297a6a61705fea2c4b523b666a8c907b1403116d58bdaef96db25e,3.203125,17.875,-14.671875,1
313306f6e2805bc0e879d80c83036d6655a6a0b6a33f6e713d8faae8e9ba0a63,11.5,17.125,-5.625,1
32860c1cdd8c1881314bdffa85ee0278cbf121042336af004aa691ac4af1ab62,16.75,7.09375,9.65625,0
33331a9722a60168e949cb1768183050a5f2fbbc9f08c51f129ad497d2d5adf7,17.25,9.5,7.75,0
34164b62ddd234883ccd9084e23f699bb481bf7d4d0a1c812c34b304102a6a0e,2.453125,16.625,-14.171875,1
354c4c0af73f18c61fd682acf0ce159acfd2764b15debbecd75fa66b1d46a661,8.125,17.875,-9.75,1
35c83d1747aa7e39055b4003d8b538cac00ec01f1885e781b867b50c140f6548,-2.84375,15.25,-18.09375,1
3861627e9bf546d33b22b97ef96b935fe435afd7a5e7e613fc405f8376cbaa93,6.5625,16.125,-9.5625,1
38e7b333ec0764d1c63f1b44136eee46e8e0a966926f924363f6a8e3c9a0c161,4.9375,18.375,-13.4375,1
394c05e39449a5f0bea08cc42beb6245e32238b843def14714f4dd4c95e67069,-0.396484375,16.25,-16.646484375,1
39b0956f4848fbf61a5d613dd5339fda318e696ceb2e83948f65fe1f23fa5954,8.625,16.875,-8.25,1
39dc6f974681743d4c09fa4c07aa43f5b3d664560751942dece93f5271389fb4,6.4375,17.125,-10.6875,1
3bad108a43067cd375bf99f9db90425dbf08b7b5de7cd6ea4310e93cb118dc1e,1.640625,16.75,-15.109375,1
3c4f983813163f867db5294b5d00d0fdbf8e44328b993ba6b56d1c4b19a8f39c,15.3125,1.9375,13.375,0
3e74c6406e55f7c9d81f2f86ed44d1745d06f472d14edf1031ff7690c306c5e9,15.4375,0.369140625,15.068359375,0
3e940d8131d891cfd674925eab5f964b0ad1c8dc3c0dd3531f12a73d29dcb2a8,0.9296875,17.625,-16.6953125,1
3ec4c28917aa49b472b86150bfff6f7fd7739d7074b317a51b6538a3a2b24def,0.7109375,15.4375,-14.7265625,1
3f422c0497db6697bfe7cec52467a6ea7374e452a94d5615bfae4ba5f4cbd006,5.78125,18.0,-12.21875,1
3fa776e079fe4725094d8033bc5ca31623877dfd2e878f0b99cfe40e0bf7a061,4.03125,17.0,-12.96875,1
3faf3e597baf96028d1f5fa974839028b5f4f89d4703c352cc5ceb133cb58105,9.1875,17.375,-8.1875,1
40698ab1cb731784d487684217fa63b4e0ac0ee5d4f9413fa6ce4c7e14f023f6,4.75,18.125,-13.375,1
416651c1088c65d60e9a76862f0d8f9447787cbb73ae937df70ce6a0a780f855,0.875,17.25,-16.375,1
42ae1d25caad7aada7c5ce1bc8f16d0b34742c8a1516c76caa061cf0aa345444,0.61328125,17.0,-16.38671875,1
444f96f631eb35e895245fb93e8117486a6e21ef21978a1d64de6ba3b8e30d73,8.375,16.875,-8.5,1
45375ed9b63ace427ac7805aef9ed0d2c8130dc191cb8ffb872595a0e70b4c60,6.03125,18.875,-12.84375,1
4a8b3d88c385b720d8412b3f05cc1d6830e4f7232af0e2c6fce492e244f50ee2,8.1875,18.375,-10.1875,1
4c43ba0a921d65f74b35219ac7f7ea723a5a916140772ca2c3ea842205ace33f,11.0625,19.0,-7.9375,1
4cac74e614f1080e1084896c2f984087ed1d938b23a394df6fb1a96366914d09,1.0546875,17.125,-16.0703125,1
4d77237a18e57f170bd5aba380f0c97a1693003f514535d3d027b6352b04951a,-1.421875,17.25,-18.671875,1
518916658b53b7c595d903f84c89d74bf97d9002420f0bf193e57daeb8334632,2.6875,17.375,-14.6875,1
527431fbb95bfcb7fd518189f92b359d3a13ef5bf9237b14e73f192a454a5a83,12.875,-3.1875,16.0625,0
54342b4e87016445a7108be078382313738cb2097cbbb17242d2fe9ec713f986,1.1171875,17.25,-16.1328125,1
55c4940bd1fea1b13bfdee965b94cb85c1423d6f5407eb4efde9678cc2d9bd50,-0.7890625,17.375,-18.1640625,1
563c770421115fc00fd87181ddd7e8fdaf6b427b3e51d5efe7af99ba5438ce4f,-0.244140625,16.25,-16.494140625,1
567aba91f5927cda669be2a0de48be69895c154bb0697738abbb2b3c549e204c,12.0625,17.25,-5.1875,1
5894161f95361ee07b295c9a80652d8938be8b107f082efef11235540b9e4760,3.59375,18.375,-14.78125,1
59eee059d36f0bcdb0971b7e5e8818f5e95e59b838bd3e7e6c87e260f128cff6,0.671875,17.5,-16.828125,1
5aecaabe6ed77b47cd60f08c57762ebf2902feea4f4e665184fc28377f88e110,2.625,17.875,-15.25,1
5af9bcf9193bb2bf03dca00e734674e99a30d1a43690c0be6066c03e0aae68a1,7.15625,17.0,-9.84375,1
5b1e9eeaa1fffe4faac24144ff075a1b17caf7b3192f8a8bb0cb9c7d92f69d23,16.125,2.34375,13.78125,0
5b2ae8a79c65e80f50700763ef67c5a558b66abc23e183c2e01eaccffe362acf,1.8046875,16.875,-15.0703125,1
5b32ac0dcf8613878dcefc70f27c7c167ba8a7f1b53a0891b5c6de8895593aea,0.1416015625,15.1875,-15.0458984375,1
5b9fa8bf543b3979992d52cdeaa3e0efe9cc2e6628b3bd223f2cbf9fc2473e4e,1.625,18.125,-16.5,1
5be60bda8c25fe3cea267d5025a625d766b8a4060f2de6533aaf514710c3bc5f,2.21875,16.25,-14.03125,1
5c35c346d9fd1f6fbbcb5693803fe1b2fee5c2a754a497f9af41d736544bf72e,0.82421875,16.125,-15.30078125,1
5df528e1e0ca8a9256117a56334585da64ac5a114b6532e200f5fd62b4904288,11.875,18.125,-6.25,1
630cdb88a4a950f9ca2bab9ed50b72c9ed711edf89fec3fcb62169f0feed0a8e,3.890625,18.375,-14.484375,1
6370c9c1e2696d8574f10fec4eb92381b7e8626aa6ff1667aeb4ef3e85c9f410,1.796875,16.25,-14.453125,1
66ef8d13884f8a2d7eebf7550e879f76ac6be83beb6c98bb5c66d13789bd8572,6.96875,16.25,-9.28125,1
66f3d32b8edbb529d425937c026db7b665a85d97c702217c4f13fd4ec513e561,12.3125,17.0,-4.6875,1
69adc4ddc1eed2f1d58e58fe75a49660594dbc98074bf2ac3e083451d5913a52,6.21875,18.25,-12.03125,1
69ec72f8a8d5063ecbf486c7031b5b850bc75dd1b0214d0146afb70656fb6b10,0.49609375,15.6875,-15.19140625,1
6a7e8a6a1d20dd6d8ea830ece8f8758aa1fd30d625efa295459709704e3c8490,14.25,-1.4609375,15.7109375,0
6c0f6990c5fe304a958f833dcc4832b2d9f876fb94a4cb67b625fc8a878efecd,-0.6171875,17.5,-18.1171875,1
6e110a442e6cccbd48deef0f584298dc21e48ee55499f72b3a4b218862e6817d,16.375,8.8125,7.5625,0
6e7e6bec18c95161bd592d6d7f5baaf138e48395cc369679bf250bd1717f9760,3.25,16.875,-13.625,1
6f22e2aba13adbe6dbc7c19e827183af2cbb0418b9fa872bb558d8902af30dac,1.7890625,16.875,-15.0859375,1
71c5cfc8057a40cd2e4e849d4cd0624172ede85bf49b9a0da5d9baf0269b69b7,8.0,17.25,-9.25,1
