n_perm,seed,real_AUROC_M_rep,null_p97_5,significant
200,20260813,0.925853340,0.589433284,True
perm_0,,,0.531275519,
perm_1,,,0.446839784,
perm_2,,,0.514943655,
perm_3,,,0.539768088,
perm_4,,,0.536011759,
perm_5,,,0.461048506,
perm_6,,,0.554956721,
perm_7,,,0.606565409,
perm_8,,,0.445206598,
perm_9,,,0.588763678,
perm_10,,,0.519189940,
perm_11,,,0.447656378,
perm_12,,,0.431161195,
perm_13,,,0.566062388,
perm_14,,,0.489465948,
perm_15,,,0.509064184,
perm_16,,,0.418259023,
perm_17,,,0.509227503,
perm_18,,,0.485382982,
perm_19,,,0.532745386,
perm_20,,,0.537971583,
perm_21,,,0.565899069,
perm_22,,,0.389188306,
perm_23,,,0.461048506,
perm_24,,,0.568675486,
perm_25,,,0.436550710,
perm_26,,,0.491915728,
perm_27,,,0.480973379,
perm_28,,,0.485872938,
perm_29,,,0.508737547,
perm_30,,,0.525396048,
perm_31,,,0.471827536,
perm_32,,,0.487342806,
perm_33,,,0.476400457,
perm_34,,,0.420708803,
perm_35,,,0.442430181,
perm_36,,,0.468397844,
perm_37,,,0.522129675,
perm_38,,,0.463008329,
perm_39,,,0.483423159,
perm_40,,,0.443246774,
perm_41,,,0.351951658,
perm_42,,,0.523762861,
perm_43,,,0.567695574,
perm_44,,,0.481789972,
perm_45,,,0.345582231,
perm_46,,,0.462681692,
perm_47,,,0.577984648,
perm_48,,,0.553976809,
perm_49,,,0.486199575,
perm_50,,,0.419075617,
perm_51,,,0.588926997,
perm_52,,,0.494365507,
perm_53,,,0.447166422,
perm_54,,,0.520006533,
perm_55,,,0.474930590,
perm_56,,,0.550383799,
perm_57,,,0.566715662,
perm_58,,,0.556426588,
perm_59,,,0.515923567,
perm_60,,,0.482606565,
perm_61,,,0.427894823,
perm_62,,,0.495672056,
perm_63,,,0.435734117,
perm_64,,,0.451412706,
perm_65,,,0.586803854,
perm_66,,,0.490609179,
perm_67,,,0.547444063,
perm_68,,,0.456638902,
perm_69,,,0.543524416,
perm_70,,,0.465458109,
perm_71,,,0.430507921,
perm_72,,,0.452719255,
perm_73,,,0.475583864,
perm_74,,,0.505307856,
perm_75,,,0.583864119,
perm_76,,,0.449616201,
perm_77,,,0.462191736,
perm_78,,,0.556426588,
perm_79,,,0.447003103,
perm_80,,,0.530458925,
perm_81,,,0.475747183,
perm_82,,,0.476890413,
perm_83,,,0.502531439,
perm_84,,,0.505144537,
perm_85,,,0.454189123,
perm_86,,,0.453535848,
perm_87,,,0.502204802,
perm_88,,,0.567205618,
perm_89,,,0.438837171,
perm_90,,,0.554466765,
perm_91,,,0.456475584,
perm_92,,,0.589416952,
perm_93,,,0.530948881,
perm_94,,,0.582394251,
perm_95,,,0.420872122,
perm_96,,,0.448799608,
perm_97,,,0.486362894,
perm_98,,,0.478033644,
perm_99,,,0.515596930,
perm_100,,,0.471010942,
perm_101,,,0.590070227,
perm_102,,,0.465458109,
perm_103,,,0.448799608,
perm_104,,,0.483913114,
perm_105,,,0.516740160,
perm_106,,,0.461865099,
perm_107,,,0.487996080,
perm_108,,,0.569002123,
perm_109,,,0.462191736,
perm_110,,,0.397027601,
perm_111,,,0.535521803,
perm_112,,,0.483423159,
perm_113,,,0.595949698,
perm_114,,,0.541074637,
perm_115,,,0.462845011,
perm_116,,,0.438510534,
perm_117,,,0.540747999,
perm_118,,,0.482606565,
perm_119,,,0.544177691,
perm_120,,,0.492242365,
perm_121,,,0.418912298,
perm_122,,,0.534705210,
perm_123,,,0.439000490,
perm_124,,,0.577168055,
perm_125,,,0.453372530,
perm_126,,,0.524742773,
perm_127,,,0.488975992,
perm_128,,,0.408786543,
perm_129,,,0.405356851,
perm_130,,,0.533888617,
perm_131,,,0.517556753,
perm_132,,,0.453372530,
perm_133,,,0.519189940,
perm_134,,,0.469704393,
perm_135,,,0.459905275,
perm_136,,,0.515923567,
perm_137,,,0.423811857,
perm_138,,,0.470031031,
perm_139,,,0.496978605,
perm_140,,,0.553650171,
perm_141,,,0.531602156,
perm_142,,,0.525232729,
perm_143,,,0.536011759,
perm_144,,,0.484076433,
perm_145,,,0.556916544,
perm_146,,,0.415972562,
perm_147,,,0.465948065,
perm_148,,,0.497631880,
perm_149,,,0.550547117,
perm_150,,,0.496815287,
perm_151,,,0.476890413,
perm_152,,,0.432957700,
perm_153,,,0.404866895,
perm_154,,,0.507757635,
perm_155,,,0.521313082,
perm_156,,,0.428058141,
perm_157,,,0.515596930,
perm_158,,,0.522456312,
perm_159,,,0.474440634,
perm_160,,,0.486362894,
perm_161,,,0.436224073,
perm_162,,,0.506777723,
perm_163,,,0.418912298,
perm_164,,,0.445206598,
perm_165,,,0.631553160,
perm_166,,,0.502204802,
perm_167,,,0.505144537,
perm_168,,,0.501714846,
perm_169,,,0.428058141,
perm_170,,,0.479340193,
perm_171,,,0.585660624,
perm_172,,,0.615711253,
perm_173,,,0.453699167,
perm_174,,,0.506124449,
perm_175,,,0.489465948,
perm_176,,,0.577331374,
perm_177,,,0.580107790,
perm_178,,,0.470684305,
perm_179,,,0.543524416,
perm_180,,,0.422668626,
perm_181,,,0.492405683,
perm_182,,,0.433610975,
perm_183,,,0.497141924,
perm_184,,,0.512820513,
perm_185,,,0.472644129,
perm_186,,,0.517393435,
perm_187,,,0.378735914,
perm_188,,,0.452392618,
perm_189,,,0.496651968,
perm_190,,,0.512493876,
perm_191,,,0.552833578,
perm_192,,,0.511513964,
perm_193,,,0.497795198,
perm_194,,,0.501551527,
perm_195,,,0.422668626,
perm_196,,,0.566715662,
perm_197,,,0.543197779,
perm_198,,,0.503837988,
perm_199,,,0.512003920,
