id,expected_label,l_A,l_B,d_raw,predicted_label,correct,greedy_id,greedy_token,greedy_pred,greedy_agrees
S01,A,15.5,-4.53125,20.03125,A,True,32,A,A,True
S02,A,15.625,-5.09375,20.71875,A,True,32,A,A,True
S03,A,15.0625,-6.40625,21.46875,A,True,32,A,A,True
S04,A,14.0,-6.6875,20.6875,A,True,32,A,A,True
S05,A,15.0625,-6.15625,21.21875,A,True,32,A,A,True
S06,A,16.125,-4.96875,21.09375,A,True,32,A,A,True
S07,A,14.75,-4.34375,19.09375,A,True,32,A,A,True
S08,A,15.6875,-5.34375,21.03125,A,True,32,A,A,True
S09,A,15.25,-4.34375,19.59375,A,True,32,A,A,True
S10,A,14.875,-6.28125,21.15625,A,True,32,A,A,True
S11,A,14.1875,-5.375,19.5625,A,True,32,A,A,True
S12,A,15.25,-4.9375,20.1875,A,True,32,A,A,True
S13,B,-7.4375,16.75,-24.1875,B,True,33,B,B,True
S14,B,-6.5,16.375,-22.875,B,True,33,B,B,True
S15,B,-6.6875,15.8125,-22.5,B,True,33,B,B,True
S16,B,-7.1875,16.0,-23.1875,B,True,33,B,B,True
S17,B,-7.15625,16.875,-24.03125,B,True,33,B,B,True
S18,B,-6.09375,17.0,-23.09375,B,True,33,B,B,True
S19,B,-7.03125,16.5,-23.53125,B,True,33,B,B,True
S20,B,-6.25,16.875,-23.125,B,True,33,B,B,True
S21,B,-7.84375,14.25,-22.09375,B,True,33,B,B,True
S22,B,-6.46875,16.125,-22.59375,B,True,33,B,B,True
S23,B,-5.3125,14.875,-20.1875,B,True,33,B,B,True
S24,B,-7.3125,15.625,-22.9375,B,True,33,B,B,True
