group_id,full_prompt_len,r_end_pos,prefix_len,r_end_token_id,candidate_marker_in_prefix,answer_marker_in_prefix,gen_prompt_token_in_prefix,r_end_char_lt_candidate_marker
04136cc09c3e28e20f3cc54c002f5cce19b5b0584082036aac26cb85e0957718,115,98,99,21720,0,0,0,1
06c253234fb732ca5cbb933d1c17bf2d2750808470917055d46202ca634d77aa,120,103,104,4925,0,0,0,1
082947fab55f39b4eeebfcc920b503109f104b9774871097799460edf1f2ad19,120,103,104,10416,0,0,0,1
096157c43eab1d699b9ccbeed5d68411b5b2e3fb115b252fc3fa6cf70c9fa0a2,135,114,115,306,0,0,0,1
0a51728d96ec45e2fef0097948bf096e564dd8d11b97cf7c76c6b8f66ecad0e5,123,105,106,2022,0,0,0,1
0b2846c806023ca03d78a69b7d388dc5df828afa14516b3f525a94be952abb37,121,102,103,57833,0,0,0,1
0c102fbd9f98d24a475df0b9061172ffddb39d95c68f8f6e6ff4498654dd07d2,123,106,107,7168,0,0,0,1
0e34f98a5eed0e07fff76848021357348c024f47757280af3d16031154df05ea,121,103,104,80373,0,0,0,1
1156a39519b025298930477de781f6adfdc69c207f4e56b13d9f45217e5d8a3e,115,98,99,2176,0,0,0,1
120ded6702a4bfa3cbb31ca776d05a8d265ac3c801488888b22c32f00bd67ec5,118,100,101,54967,0,0,0,1
15c23fd8db846a2fe507b4350a0b29c09524f038f8eb33ccf91a33cf36a47577,124,106,107,973,0,0,0,1
15f53f5d9064bd6b540a9a887785b50f0dff073a14da9cfd06703e413898a406,117,100,101,48186,0,0,0,1
17a3ddf50cc90eba8a1b8e1b88b88cbb1acc416aa534178d1440310ccbedd46e,118,100,101,22977,0,0,0,1
17c8c97714c512701e89cfadecc0c6e47d62e062996af33efd672dad145466f2,131,110,111,306,0,0,0,1
1a4bfad86725d96576461f1d03e703da235b3c05bb374daa912207c24bf10fc6,124,105,106,4126,0,0,0,1
1a652f5d27693f71943fc078534abeeaa77cabd0b561d26bc7dc6729164bf79b,131,113,114,2779,0,0,0,1
1a6cef51ba8e69e9d9becdbf37488d5b99ff68555848219fb1bc6c35a8e14b51,120,101,102,50383,0,0,0,1
1beecde5f062342e7ea745bf7976f068d5918b7c3493eb77abd34e80451ca1e9,122,104,105,18808,0,0,0,1
1d60ddc902b71b2bf0c9e33f9ca30b765d70f90cce016b2580f49d258304cd42,115,97,98,73667,0,0,0,1
1e476089b485260191c0bf5c28ac7bbff1873d191a7155bccc6eb107a15795cc,119,101,102,4379,0,0,0,1
1e8acd4a8ea4ccf790b57fef1de1e73996953d8a2fcd4177aba159913090d44f,122,104,105,4802,0,0,0,1
1fc23b443a0b2ab4eb5d85d686cd546a324f4d92982f5cd5aba987e5a586a26f,127,109,110,12528,0,0,0,1
1fcc66bd660ea715ba5fc4eaf96aa4cd1865e6c55ad8fd7b4d441a7c21846e72,121,104,105,825,0,0,0,1
20f5c3c71684cc2d42c32048426f08da7dcb1754ed6b9e010a3f05f9830d7415,127,108,109,8669,0,0,0,1
213598c0c1982501f3ad44a09161ff5785511c9c7184ef56687e9c6f23f9b117,125,107,108,47353,0,0,0,1
23cbf2ea0b43fa8e41ebf4767a8faef009ed6e705c8b41be93c02738e336016e,116,97,98,28479,0,0,0,1
249c9a2a402d7fc9a8e34b5c270a505e68f45c60a2b6d8115f6dca53a1ead400,122,105,106,46403,0,0,0,1
24d57c054a0760dadc797b17fbae09b4d95a30f631ac53a6c9c3af6867459c7c,122,103,104,1280,0,0,0,1
26aeaf6c1e0f7f10cbec18c2c7e7e6327434465387a98de2bfe3a25ead5320e3,126,108,109,33072,0,0,0,1
26e2245e87b3be0c26c31435963c2d0b5db8964605e8ea4e907c5cdc05afe211,123,101,102,56465,0,0,0,1
270b5c52e64aaec413813efbef57807d2cc25fea5398ba2138054861c1cb0856,119,99,100,415,0,0,0,1
28bb87e526c10f13cadda9756e62cc79c3f0d6b88366f11f78cc8c79564cf6d1,122,103,104,28370,0,0,0,1
29c957b473c9b695ee20b26ba78f9e47d9bdf5bb15942bd5875d582a5dd33d3e,119,102,103,58233,0,0,0,1
29d2c4e3404587f0c60f3003620da40f5a704dae9ce51723b9392576f1897ee3,135,116,117,4379,0,0,0,1
2dddfb7d4d9368b9bc0370c71e7d2cd76d28533599470762047b582458afaea4,117,100,101,10780,0,0,0,1
2e12363d85297a6a61705fea2c4b523b666a8c907b1403116d58bdaef96db25e,123,106,107,1968,0,0,0,1
313306f6e2805bc0e879d80c83036d6655a6a0b6a33f6e713d8faae8e9ba0a63,116,99,100,61507,0,0,0,1
32860c1cdd8c1881314bdffa85ee0278cbf121042336af004aa691ac4af1ab62,116,99,100,34619,0,0,0,1
