source_group_id,split,relation,donor_group_id,r_o,r_s,answer_norm_equal
004996b6a92fc8c1db988189449a3f2bde03855820dbf47986b62ece298225a8,train,capital of,68d57365e994bdf036d2221de96fa3b5f2a7225bf9737a7814bdd0017e7d2716,Catalonia,canton of Dieppe-Est,False
00b00e42b027aca7b3e98656d9a559c9c26462039bce2078329626408dbdc497,train,capital of,65efb7f83c450abc537c04ecd766b592640c43ce9056d38d3390b7ec3d52f359,Cuvette Department,Delhi Sultanate,False
024aba8498af9091ceb4a213d7900a650ae94f284e6f66ac88bedcf3ae5dcd0f,train,capital of,9e2d48e9f3e61fde8dfc2fd111927d3d80293184fbe9583e71e3e5074fb99239,Canada,Duchy of Athens,False
073e1c3597ee3d3d75623f58deb3dd231f7eb85e4aec595e2a98e508169de741,train,capital of,fb517e2f7b59fa112e8eae1e309c0a76b65a07e24d268db9f4175969c8b50052,Indre-et-Loire,province of Milan,False
082127199ff8360377e3ef6276117e0b5e2a3128c51a063900e894cf1cfd8503,train,capital of,c971f3a393534f5b49689945a5621cda7a1a08317d4fe767b986736cf4c2606f,Kingdom of Hanover,Ozaukee County,False
09e59e1232089c98f7ff6c046f061a282416d52e8bcd2f95195c9b4389a8bf2c,train,capital of,4c7840977028a18e16746307af48365c4b644747e2c20c767a0e41b89875f414,West Pakistan,Antalya Province,False
0addfbd16b519929daa59aac380e8dd1f5148bc575d895a1a4d82f3d4184c3d1,train,capital of,fb517e2f7b59fa112e8eae1e309c0a76b65a07e24d268db9f4175969c8b50052,Harris County,province of Milan,False
0d1858ce0b31cb5d8b7b0115d791c8ac160b88b75c63bf6e657a9c684a85d958,train,capital of,9c070e2916ce671ecd085bbd60e74cc709e1eb9a9e258cf76ad774ebb8e7b3ff,Varman dynasty,Armenian Kingdom of Cilicia,False
0d29151518efc90ad7d819286a2a304be79bc4b671c24d949a17e37e4b79dc4c,train,capital of,1e2a9d348164ff0f0848df518cf5175696da2edd9f89313d2554e8c36a871099,Lahaul and Spiti district,Krushari Municipality,False
0ea0ad96ca3996a17a3da46e0ad8babe625356de6c4604eddfaa2e87a2678436,train,capital of,48050f2d950d252dde75802aa7b09bfb0a62bd29827453b4e8912923d282f502,Holy Roman Empire,Haakon County,False
0f00ab4df8553a7872c6643d3c655bdf60ee550ba2fe0d503ee2c6cddfb5f9fa,train,capital of,1738c27131f1ae6b5dfe3469e1bdcc712215fce1ad1348e3841a8a1b25986cee,French Community of Belgium,Yokohama,False
