relation,train,dev,final_reserve,total,share_of_total
author,931,292,286,1509,0.107196
capital,301,120,109,530,0.03765
capital of,228,70,55,353,0.025076
color,17,4,13,34,0.002415
composer,558,201,218,977,0.069404
country,476,169,171,816,0.057967
director,1182,419,398,1999,0.142005
father,353,106,96,555,0.039426
genre,963,324,330,1617,0.114868
mother,110,39,38,187,0.013284
occupation,324,112,96,532,0.037792
place of birth,341,114,124,579,0.041131
producer,935,294,290,1519,0.107907
religion,196,70,69,335,0.023798
screenwriter,1207,389,401,1997,0.141863
sport,324,92,122,538,0.038218
