relation,n_groups,FR_SS,FR_SS_ci95_low,FR_SS_ci95_high,reportable_ci
author,292,0.0068,0.0000,0.0171,True
capital,120,0.6250,0.5333,0.7167,True
capital of,70,0.2286,0.1286,0.3286,True
color,4,0.2500,,,False
composer,201,0.0050,0.0000,0.0149,True
country,169,0.0888,0.0473,0.1302,True
director,419,0.0024,0.0000,0.0072,True
father,106,0.0377,0.0094,0.0755,True
genre,324,0.0340,0.0154,0.0556,True
mother,39,0.0000,0.0000,0.0000,True
occupation,112,0.0357,0.0089,0.0714,True
place of birth,114,0.0000,0.0000,0.0000,True
producer,294,0.0034,0.0000,0.0102,True
religion,70,0.0286,0.0000,0.0714,True
screenwriter,389,0.0051,0.0000,0.0129,True
sport,92,0.0978,0.0435,0.1630,True
